id_ipc_apertura;valor_ipc_apertura;id_apertura;id_periodo;id_region
NULL;2.2;7;46;2
NULL;3.6;7;47;2
NULL;7.8;7;48;2
NULL;-4.1;7;49;2
NULL;3.3;7;50;2
NULL;1.7;7;51;2
NULL;5.8;7;52;2
NULL;2.2;7;53;2
NULL;1.8;7;54;2
NULL;4.6;7;55;2
NULL;5.4;7;56;2
NULL;1.6;7;57;2
NULL;4.9;7;58;2
NULL;1.1;7;59;2
NULL;3.6;7;60;2
NULL;0;7;61;2
NULL;5;7;62;2
NULL;3.2;7;63;2
NULL;8.4;7;64;2
NULL;4.5;7;65;2
NULL;3.4;8;1;2
NULL;0.2;8;2;2
NULL;1.5;8;3;2
NULL;2.7;8;4;2
NULL;1.1;8;5;2
NULL;2.1;8;6;2
NULL;1.8;8;7;2
NULL;4;8;8;2
NULL;1.8;8;9;2
NULL;0.1;8;10;2
NULL;1.2;8;11;2
NULL;1.7;8;12;2
NULL;3.6;8;13;2
NULL;2.6;8;14;2
NULL;2.6;8;15;2
NULL;2.9;8;16;2
NULL;2.2;8;17;2
NULL;3.2;8;18;2
NULL;5.6;8;19;2
NULL;3.4;8;20;2
NULL;9.1;8;21;2
NULL;4.3;8;22;2
NULL;1.1;8;23;2
NULL;1.9;8;24;2
NULL;1.9;8;25;2
NULL;3.4;8;26;2
NULL;1.4;8;27;2
NULL;3;8;28;2
NULL;3.2;8;29;2
NULL;1.9;8;30;2
NULL;2.6;8;31;2
NULL;6.3;8;32;2
NULL;5.5;8;33;2
NULL;1.7;8;34;2
NULL;3.6;8;35;2
NULL;3.8;8;36;2
NULL;2.7;8;37;2
NULL;2;8;38;2
NULL;3.6;8;39;2
NULL;2.5;8;40;2
NULL;5;8;41;2
NULL;2.3;8;42;2
NULL;2.5;8;43;2
NULL;8.1;8;44;2
NULL;2.1;8;45;2
NULL;7.5;8;46;2
NULL;5.9;8;47;2
NULL;3.8;8;48;2
NULL;5;8;49;2
NULL;5.6;8;50;2
NULL;1.6;8;51;2
NULL;7;8;52;2
NULL;3.5;8;53;2
NULL;2;8;54;2
NULL;7.8;8;55;2
NULL;1.3;8;56;2
NULL;2;8;57;2
NULL;2.7;8;58;2
NULL;6.7;8;59;2
NULL;4.2;8;60;2
NULL;5.2;8;61;2
NULL;0.6;8;62;2
NULL;5.2;8;63;2
NULL;5.1;8;64;2
NULL;3;8;65;2
NULL;0;9;1;2
NULL;17.6;9;2;2
NULL;13;9;3;2
NULL;12.3;9;4;2
NULL;0.4;9;5;2
NULL;0.4;9;6;2
NULL;0.5;9;7;2
NULL;0.3;9;8;2
NULL;-0.2;9;9;2
NULL;0;9;10;2
NULL;-0.1;9;11;2
NULL;51.6;9;12;2
NULL;0.1;9;13;2
NULL;8.7;9;14;2
NULL;0.5;9;15;2
NULL;13;9;16;2
NULL;-7.2;9;17;2
NULL;0.1;9;18;2
NULL;0.9;9;19;2
NULL;13.9;9;20;2
NULL;1.1;9;21;2
NULL;12.4;9;22;2
NULL;3.3;9;23;2
NULL;0;9;24;2
NULL;1.3;9;25;2
NULL;11.9;9;26;2
NULL;6.7;9;27;2
NULL;5.7;9;28;2
NULL;1.2;9;29;2
NULL;1.7;9;30;2
NULL;0.6;9;31;2
NULL;0.8;9;32;2
NULL;1.2;9;33;2
NULL;0.4;9;34;2
NULL;-0.8;9;35;2
NULL;0.6;9;36;2
NULL;0;9;37;2
NULL;-0.3;9;38;2
NULL;-0.4;9;39;2
NULL;-1;9;40;2
NULL;-0.7;9;41;2
NULL;-0.1;9;42;2
NULL;-0.1;9;43;2
NULL;1;9;44;2
NULL;1.3;9;45;2
NULL;0.6;9;46;2
NULL;0.1;9;47;2
NULL;0.1;9;48;2
NULL;0.8;9;49;2
NULL;-0.3;9;50;2
NULL;-0.2;9;51;2
NULL;1.1;9;52;2
NULL;3.5;9;53;2
NULL;3.1;9;54;2
NULL;0.6;9;55;2
NULL;0.2;9;56;2
NULL;0.9;9;57;2
NULL;0.4;9;58;2
NULL;0.4;9;59;2
NULL;-0.1;9;60;2
NULL;0.1;9;61;2
NULL;-0.3;9;62;2
NULL;21.6;9;63;2
NULL;-0.4;9;64;2
NULL;0.2;9;65;2
NULL;0.7;10;1;2
NULL;0.8;10;2;2
NULL;0.9;10;3;2
NULL;0.7;10;4;2
NULL;4.8;10;5;2
NULL;2;10;6;2
NULL;3.3;10;7;2
NULL;0.6;10;8;2
NULL;0.5;10;9;2
NULL;0.6;10;10;2
NULL;0.4;10;11;2
NULL;4.8;10;12;2
NULL;0.7;10;13;2
NULL;1.8;10;14;2
NULL;7;10;15;2
NULL;0.7;10;16;2
NULL;1.1;10;17;2
NULL;3;10;18;2
NULL;3.9;10;19;2
NULL;3.1;10;20;2
NULL;6.8;10;21;2
NULL;4.1;10;22;2
NULL;4.2;10;23;2
NULL;1.6;10;24;2
NULL;3.3;10;25;2
NULL;2.9;10;26;2
NULL;4.2;10;27;2
NULL;4.7;10;28;2
NULL;3.2;10;29;2
NULL;3.4;10;30;2
NULL;2;10;31;2
NULL;3.9;10;32;2
NULL;6;10;33;2
NULL;13;10;34;2
NULL;-3;10;35;2
NULL;8.2;10;36;2
NULL;-4.7;10;37;2
NULL;2;10;38;2
NULL;2.7;10;39;2
NULL;0.5;10;40;2
NULL;2;10;41;2
NULL;0.4;10;42;2
NULL;0.6;10;43;2
NULL;1.6;10;44;2
NULL;0.9;10;45;2
NULL;4;10;46;2
NULL;3.5;10;47;2
NULL;1.3;10;48;2
NULL;2;10;49;2
NULL;6.1;10;50;2
NULL;2.9;10;51;2
NULL;3.9;10;52;2
NULL;2.3;10;53;2
NULL;3.6;10;54;2
NULL;2.8;10;55;2
NULL;3.4;10;56;2
NULL;4.2;10;57;2
NULL;2.5;10;58;2
NULL;3.4;10;59;2
NULL;4.3;10;60;2
NULL;2.8;10;61;2
NULL;3.8;10;62;2
NULL;5.6;10;63;2
NULL;5.8;10;64;2
NULL;6.4;10;65;2
NULL;2.1;11;1;2
NULL;2.3;11;2;2
NULL;2.9;11;3;2
NULL;2.2;11;4;2
NULL;2.7;11;5;2
NULL;2.2;11;6;2
NULL;2.3;11;7;2
NULL;1.5;11;8;2
NULL;1.6;11;9;2
NULL;1.1;11;10;2
NULL;1.9;11;11;2
NULL;1.4;11;12;2
NULL;2.1;11;13;2
NULL;1.9;11;14;2
NULL;1.6;11;15;2
NULL;2.3;11;16;2
NULL;3;11;17;2
NULL;4.7;11;18;2
NULL;3.8;11;19;2
NULL;4.2;11;20;2
NULL;8.5;11;21;2
NULL;5.6;11;22;2
NULL;6.8;11;23;2
NULL;6;11;24;2
NULL;3.5;11;25;2
NULL;2.8;11;26;2
NULL;5;11;27;2
NULL;5.3;11;28;2
NULL;5.2;11;29;2
NULL;4.8;11;30;2
NULL;3.3;11;31;2
NULL;6.1;11;32;2
NULL;10.1;11;33;2
NULL;5.3;11;34;2
NULL;7.9;11;35;2
NULL;4.2;11;36;2
NULL;-5.1;11;37;2
NULL;0.3;11;38;2
NULL;3.3;11;39;2
NULL;1.6;11;40;2
NULL;0.1;11;41;2
NULL;2.7;11;42;2
NULL;2.8;11;43;2
NULL;3.8;11;44;2
NULL;5;11;45;2
NULL;3.8;11;46;2
NULL;5;11;47;2
NULL;4.5;11;48;2
NULL;4.6;11;49;2
NULL;4;11;50;2
NULL;4.1;11;51;2
NULL;3.8;11;52;2
NULL;5.8;11;53;2
NULL;3.4;11;54;2
NULL;3.8;11;55;2
NULL;3.3;11;56;2
NULL;3.1;11;57;2
NULL;4.5;11;58;2
NULL;1.8;11;59;2
NULL;0.3;11;60;2
NULL;3.6;11;61;2
NULL;4.2;11;62;2
NULL;5.1;11;63;2
NULL;6.7;11;64;2
NULL;6.1;11;65;2
NULL;0;12;1;2
NULL;5.3;12;2;2
NULL;0.6;12;3;2
NULL;0;12;4;2
NULL;0;12;5;2
NULL;0;12;6;2
NULL;6;12;7;2
